position,company,description,numreview,city,state
Data Scientist,U.S. Bank,"Data Scientist-180027796

At U.S. Bank, we're passionate about helping customers and the communities where we live and work. The fifth-largest bank in the United States, we’re one of the country's most respected, innovative and successful financial institutions. U.S. Bank is an equal opportunity employer committed to creating a diverse workforce. We consider all qualified applicants without regard to race, religion, color, sex, national origin, age, sexual orientation, gender identity, disability or veteran status, among other factors.

About Elavon - https://www.elavon.com/index.html

Elavon’s Global Acquiring Solutions organization is part of U.S. Bank’s Payment Services division. U.S. Bancorp is the fifth-largest commercial bank in the United States.

From e-commerce to mobile wallets and chip card acceptance, Elavon helps businesses, small and large, accept all payment types – and reap the benefits at the end of the day. Whether they need a simple or sophisticated payment solution, we’ve got them covered.

For 25 years, we’ve helped more than one million customers around the world grow their business through payments. Our flexible, secure and innovative payment solutions help businesses attract and keep customers, develop partner relationships, process payments and simplify operations.

Elavon is seeking a proficient Data Scientist who will be responsible for working on big data/analytics projects that gather and integrate large volumes of data, performs analysis, interprets results and develops actionable insights and recommendations for use across the company. The Data Scientist acquires data from multiple data sources in order to perform analysis. Identifies, analyzes and interprets trends or patterns in complex data in order to provide answers to business questions as well as provide recommendations for action. Interprets data and analyze results using various statistical techniques and tools. Presents data and analysis in a clear and concise manner allowing the audience to quickly understand the results and recommendations so they activate upon them and make data driven decisions. Collaborate with various partners to provide a holistic view of the analysis. Measures and monitors results of applied recommendations and present adjustments. Ensures all data acquisition, sharing and results of applied recommendations are compliant with company standards.


Qualifications

Basic Qualifications
Bachelor's degree, or equivalent work experience4+ years of statistical analytics experience

Preferred Skills/Experience
Experience with R stats, SQL and HadoopUnderstanding of Python and tools that work with Hadoop and R stats such as Hive, PIG, MatlabExperience in SQL/SAS for querying data and for data manipulation/transformationExperience in analytics, advanced analytics/statistics, predictive modelingStrong analytic skills with the ability to extract, collect, organize, analyze and interpret trends or patterns in complex data sets

Job Information Technology
Primary Location Georgia-GA-Atlanta
Shift 1st - Daytime
Travel Yes, 10 % of the Time
Average Hours Per Week 40",5416,Atlanta,GA
Data Scientist,Catalina Marketing,"Data Scientist

WHY CATALINA

Catalina’s personalized digital media connects shoppers to the brands we know they want. We do this by delivering only the most relevant ads and offers from their home to the aisle. And only Catalina knows the evolving purchase history and individual needs of more than three-quarters of (280 million) American shoppers. With the world’s largest shopper purchase history database driving all personalized media across our networks, Catalina drives lift and loyalty for the world’s leading CPG brands and retailers. We target consumers with the right behavior-based message when it’s most impactful via the channel that’s most likely to reach them — digital or in the store.

OUR TEAM
The Advanced Analytics and Data Science team at Catalina operates near the tip of spear, creating new, world-class science-based capabilities for external and internal clients, shepherding these initiatives from initial concept, prototyping / proof-of-concept, design, build, testing, training, and handoff. We use advanced machine learning, data science, operations research, statistics, and related analytics methodologies, operating on big data and delivered on a scalable computing platform using modern technologies. We illustrate value and drive to bring these capabilities to initial Production and ensure that these initiatives are successful when we hand off.

This position will report directly to the VP of Advanced Analytics and Data Science.

WHAT YOU WILL BE DOING

The Incumbent will
Formulates mathematical models in an appropriate programming language or application
Analyzes raw input data from computer or other media
Leads project planning sessions with clients, business analysts, and team members to gather and analyze user requirements.
Validates and tests of models to ensure adequacy, or determines need for reformulation
Utilizes and stays current on applicable programming languages and software technologies
Tracks progress and reports out to stakeholders
Knows what quality means, strives for quality, designs for quality, tests and refines until a very high quality is achieved, and continuously improves
Delivers prototypes / proofs of concept
Recommends plans to bring to Production

WHAT YOU BRING TO THE TEAM
Ph.D. in machine learning, computer science, engineering, mathematics, statistics, operations research, or related discipline; OR
Masters degree in (same disciplines mentioned above) AND 2+ years experience after graduate school in computation, data science, machine learning or related; OR
Bachelor degree AND 4+ years experience

Computing skills: programming (e.g., C++), cloud distributed computing, python / R, machine learning framework(s) (e.g., sk-learn, tensorflow), linux, bitbucket, Target Process/JIRA or other issue-tracking
Good communications, verbally, and also have ability to construct cogent design documents, emails and PowerPoints
Atlanta-based
Ability to travel up to 25%

ADDITIONAL PREFERRED SKILLS
Sunny disposition, team player
Academic networking
 
CATALINA CORE VALUES
 Be a trusted partner : Act with integrity and positive intent
 Focus on the customer: Keep the needs of both internal and external customers as well as
 consumers front and center
 Act like an owner: Think holistically about how your role helps fulfill our Mission
 Be innovative: Share and scale the best ideas regardless of origin
 Strive for simplicity: Add meaning and eliminate complexity
 Value personal and professional growth: Contribute to an environment that enables
 individual, team and organizational success

The intent of this job description is to describe the major duties and responsibilities performed by incumbents of this job. Incumbents may be required to perform other job-related tasks other than those specifically presented in this description.

All duties and responsibilities are essential job functions and requirements and are subject to possible modification to reasonably accommodate individuals with disabilities.

We are proud to be an EEO employer M/F/D/V. We maintain a drug-free workplace.

Note to Recruiters and Placement Agencies : We do not accept unsolicited resumes from outside recruiters /placement agencies. Catalina will not pay fees associated with resumes presented through unsolicited means.",78,Atlanta,GA
Data Science Solutions Lead(Data Engineer)-PS10274,"Anthem, Inc.","Data Science Solution Lead (Data Engineer)
Your Talent. Our Vision. At Anthem Blue Cross and Blue Shield, a proud member of the Anthem, Inc. family of companies, it’s a powerful combination, and the foundation upon which we’re creating greater care for our members, greater value for our customers, and greater health for our communities. Join us and together we will drive the future of health care. This is an exceptional opportunity to do innovative work that means more to you and those we serve.

Position must be located in Atlanta, GA.
The Data Science Solution Lead is responsible for the design and development of analytic models, applications and supporting tools, which enable Data Scientists to create algorithms/models in a big data ecosystem.
Primary duties may include, but are not limited to:
Lead the design, implementation, and continuous delivery of an insights data pipeline supporting the development and operation of custom analytic products/services across the organization.Design and integrate data from different sources.Forms analytics platform components and/or processing components required to provide a business solution.Engage with business stakeholders to design and own end-to-end solutions to empower data driven decision making.Leverage data, technology and quantitative methods to form products that inject analytics and insights into daily workflow of teams.Defines application scope and objectives, including impact to interfaces.Ensures appropriate data testing is completed and meets test plan requirements.Coordinates integration actions to ensure successful implementation.Mentors Data Science Solution Consultants/Consultant Seniors.Lead analytical projects and pilots for upgrades or enhancements. Requires BA/BS in Computer Science, Mathematics, or related disciplines.
An ideal candidate will have significant experience in two or more areas: Data Architecture, Real-Time Applications, or BI Tools.5+ years’ experience in leveraging at least 4 of the following Hadoop technologies – HDFS, Hive, Pig, Sqoop, Oozie, MapReduce, Impala, Flume, Spark, SOLR, distributed processing concepts, HbaseSolid understanding and experience using at least one of the following programming languages — Java, Python, R, Scala.5+ years’ experience in one of the following areas:
o Database Strategy, Data Modeling, Data Pipelines and ETL Architecture
o API &amp; messaging architectures
o BI development/design
5+ years of experience in Healthcare industry is preferredStrong relational database SQL skills; including optimization techniques, with knowledge of NoSQL conceptsSolid experience with unix and shell scriptingExperience in defining project solution approach leveraging agile methodologies working with Product Owners and Scrum Masters.Experience with identifying risk areas during solution design and mitigating them.Experience with source code management and application deployment techniques within an agile development methodologyKnowledge of the following Machine Learning Algorithms - Classification, Regression, Clustering, Dimensionality Reduction, Model Selection, Feature ExtractionPrior experience in Text mining/Natural Language Processing is preferred.Strong Communication skills and ability to co-ordinate with multiple groups.

Anthem, Inc. is ranked as one of America’s Most Admired Companies among health insurers by Fortune magazine and is a 2015 DiversityInc magazine Top 50 Company for Diversity. To learn more about our company and apply, please visit us at antheminc.com/careers. An Equal Opportunity Employer/Disability/Veteran.",3182,Atlanta,GA
Account Executive - Atlanta,"Alteryx, Inc.","Position: Account Executive - Georgia
Location: Atlanta, GA

Revolutionizing business through data science and analytics, Alteryx offers an end-to-end analytics platform which empowers data analysts and scientists alike to break data barriers, deliver insights, and experience the thrill of getting to the answer faster. Organizations all over the world rely on Alteryx daily to deliver actionable insights.

Join our team of passionate and hard-working associates, and help make a difference in people’s lives by creating software that enables business users to solve problems using data that were previously thought to be unsolvable, save them days, weeks and months of mundane data prep and blending, and help them truly love their jobs again.

Overview:

Are you a proven sales professional looking to directly drive the success of one of the most exciting companies in Strategic Analytics? Alteryx has an immediate opportunity for an experienced, results oriented Account Executive. Our ideal candidate is a tireless hunter who lives for finding, developing and expanding opportunities for new business. If evangelizing unbelievable technologies is simply part of your sales DNA, and being the vanguard for the next wave in BI / Strategic Analytics sounds exciting, then we'd like to talk to you!
Qualifications:
7-10 years of experience selling complex Enterprise level B2B software solutions to the executive/director-level as well as the analyst/user community; SaaS, PaaS and/or hybrid.
Proven sales track record with history of clearly meeting or exceeding quotas.
Technologically savvy with experience in Business Intelligence, Strategic Analytics, Data Integration/ETL, Data Services Provider or Data Discovery/Visualization technology is required.
History of successful technology sales to LOB, rather than straight IT focus.
Ability to develop the strategic goals and tactical plans necessary to identify, prospect and connect with targeted accounts.
Can successfully translate technology into business level conversations that bring value and uncover opportunity for our clients.
Ability to travel up to 40 to 60%.


Desired Skills &amp; Experience:
Bachelor’s degree or equivalent in business or sales management
A disciplined “prospector” who can continuously build a pipeline while working on prosecuting deals; leverage existing network and all social channels including LinkedIn to drive communications and account penetration.
Disciplined sales professional with ability to self-manage and push beyond the bounds of adequate performance and standard expectations.
Documented expertise in any of our primary vertical industries: retail/CPG, financial services, retail banking, QSR/FSR/LSR, telecommunications or real estate.
Detail oriented, relationship building skills, and a focus on a high level of customer service
Excellent written and verbal communication skills, including high caliber presentation skills; PC skills including PowerPoint, Word, Excel and Salesforce.com.

Unsolicited third party/agency profiles and resumes will not be considered. Please do not inquire.
Alteryx, Inc. is an Equal Employment Opportunity Employer",5,Atlanta,GA
Clinical Research Coordinator/Nurse,General Dynamics Information Technology,"Job Description
With more than 8,000 health experts, clinicians and advisors, General Dynamics Health Solutions’ personnel provide vital expertise and project management support to help organizations research, diagnose and treat varying healthcare issues to improve outcomes. Our program and project management professionals supply the necessary expertise and administrative support to keep pace with industry demands. Relying on our specialized scientists, technicians and providers, organizations gain the necessary clinical staff to meet organizational needs and advance medical research. This position will be in Fort Gordon - Georgia.

The DDEAMC Department of Clinical Investigation’s (DCI) mission is to promote, coordinate, support and oversee organized scientific inquiry in basic laboratory and clinical research using both human and non-human subjects. Our objective is to provide support for clinical research (human, animal, and laboratory-based research projects) and clinical trials conducted at DDEAMC and or conducted by DDEAMC staff in collaboration with other military, federal and/or civilian institutions/organizations. In support of this work GDIT is seeking a clinical research coordinator to perform the following tasks:

Preparation for Research Tasks
Assist investigators/researchers with protocol development.
Prepare key research documents to include, but not limited to, protocol preparation (writing, reviewing, and amending), regulatory submission documents, protocol training material, clinical study reports, and internal and external presentations.
Complete Human Research Subjects Protections training, investigator/researcher training appropriate to research role, and other research training required in accordance with DDEAMC policies and the organization’s Human Research Protection Plan/Program (HRPP).
Develop or provide assistance in developing study specific materials and tools necessary to appropriately train individuals involved in the conduct of identified research studies.
Conduct or provide assistance in conducting the required training. Document the training in accordance with according to DDEAMC policies. Maintain documentation of this training in accordance with DDEAMC policies.
Track and assist PIs in assuring that all persons ‘engaged’ in the research project have met training requirements in accordance with Federal regulations, DDEAMC policies, and sponsoring agency policies and procedures. Document date of training and signatures of study personnel trained on study specific training log.
Prepare research project materials (these project materials include, but are not limited to, enrollment logs, drug/device accountability logs, informed consent documents, and case report forms).
Develop and implement or assist PIs with developing and implementing recruitment strategies in accordance with IRB requirements and approval.
Ensure the adequacy of planning for study implementation. Work with PIs and research teams to prioritize project/study timelines ensuring overall timeline adherence and assists PIs in meeting milestones associated with their studies. Plan and coordinate the initiation of the research study and help establish the study operating policies and procedures.
Research Execution Tasks
Protect and assist PI with protecting the rights and welfare of all human research participants in accordance with Federal regulations, MEDCOM, DDEAMC HRPP, and sponsoring agency policies and procedures. Coordinate with PIs to ensure that clinical research studies are conducted in accordance with IRB approved protocols, Federal and Army regulations, MEDCOM and DDEAMC policies, and sponsor agency requirements. Document the training in accordance with DDEAMC policies. Maintain documentation of this training in accordance with DDEAMC policies.
Support, manage, facilitate, and coordinate the day-to-day research activities including problem-solving, communication, and routine protocol management.
Participate in and/or assist with subject recruitment activities and study procedures as required by specific protocols (including prescreening, subject screening, conducting study visits, tracking and distributing test articles, and educating subjects.
Participate in/Assist with the informed consent process including interactions with research participants and answering questions related to the study. Assure information is documented on the appropriate forms. Assure that amended consent forms are appropriately implemented and signed.
Coordinate participants’ tests and procedures; Collect, process, track, and ship protocol specific lab samples; Collect data as required by protocol
Assist in designing/developing processes, techniques, tools/equipment, testing devices required to support clinically based laboratory research projects.
Cooperate with and participate in DDEAMC compliance and monitoring efforts related to sponsored program administration and reports instances of noncompliance to appropriate compliance office.
Assist PI, DCI, and DDEAMC in coordinating monitoring and reviewing research study audit findings and in implementing approved recommendations.
Collect, analyze and manage research/study information and data:
Initiate and conduct ongoing database analyses to support clinical objectives
Review scientific data and participate in reviewing ongoing summary data
Complete study documentation and maintain study files in accordance with regulations, DDEAMC policies, and sponsor requirements. Manage study documentation including confirming that required documents are archived and available
Present data and participate in the presentation of data at internal DDEAMC meetings.
Maintain detailed records of research conducted (produce accurate and timely reports as requested).
Establish and organize study files, including but not limited to, regulatory binders, study specific source documentation and other material.
Conduct and complete timely data management activities (including recording source data and keying in source data to study specific electronic data capture systems) in compliance with protocol specifications.
Assist PIs in preparing/reviewing publications related to active research projects; serve as co-author on publications on projects he/she is supporting as an Associate Investigator, Clinical research Coordinator or Research Team Member
Assist PIs in preparing/reviewing posters and podium presentations related to active research projects; may serve as co-author on posters and be a co-presenter in poster/podium presentations on projects he/she has supported as an Associate Investigator, Clinical research Coordinator or Research Team Member.
Post Research Execution Tasks
Assist PIs in preparing/reviewing publications related to closed research projects; serve as co-author on publications on projects he/she has supported as an Associate Investigator, Clinical research Coordinator or Research Team Member
Assist PIs in preparing/reviewing posters and podium presentations related to closed research projects; may serve as co-author on posters and be a co-presenter in poster/podium presentations in projects he/she has supported as an Associate Investigator, Clinical research Coordinator or Research Team Member.
Assist PIs in submitting accurate and timely closeout documents
Assist PIs in securing secure storage of study documents that will be maintained according to Federal, MEDCOM, and DDEAMC requirements.
Education
Bachelors Degree in a scientific discipline.
Qualifications
2-5 years of related experience in scientific research and analysis.
Registered Nurse or Licensed Practical/Vocational Nurse (Current, Active, and Unrestricted Nursing License from the State of Georgia).
Must meet all licensing, educational, and credentialing requirements to function at DDEAMC as a Registered Nurse or Licensed Practical/Vocational Nurse.
Must remain in compliance with these licensing, educational, and credentialing requirements through the entire period of performance.
Minimum of four (4) years of demonstrated clinical research experience is required
Strong communication and interpersonal skills
Proficient in Computer Use (must be able to become proficient in using DDEAMC electronic systems)
Clinical Research Coordinator certification is preferred
US Citizenship is a prerequisite for this position per the contract requirements.
This position requires a favorable NACI investigation which is completed by the government after the offer letter has been executed.
This position requires credentialing at Dwight D. Eisenhower Army Medical Center.

For more than 50 years, General Dynamics Information Technology has served as a trusted provider of information technology, systems engineering, training and professional services to customers across federal, state, and local governments, and in the commercial sector. Over 40,000 GDIT professionals deliver enterprise solutions, manage mission-critical IT programs and provide mission support services worldwide. GDIT is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, or veteran status, or any other protected class.

#DICE
#HCSDCJ",5915,Atlanta,GA
Computer Network Defense (CND) Analyst,ICF,"Working at ICF


Working at ICF means applying a passion for meaningful work with intellectual rigor to help solve the leading issues of our day. Smart, compassionate, innovative, committed, ICF employees tackle unprecedented challenges to benefit people, businesses, and governments around the globe. We believe in collaboration, mutual respect, open communication, and opportunity for growth. If you’re seeking to make a difference in the world, visit www.icf.com/careers to find your next career. ICF—together for tomorrow.



Join our team of cyber pioneers with expertise and decades of experience defending and protecting some of the nation’s most valuable resources—ICF. Through implementation of effective cyber security solutions, ICF supports security awareness, readiness, resilience and response to cyber incidents. Our extensive customer base has benefited from the leading-edge work our security engineers and data scientists perform in maintaining and advancing situational awareness of the current cyber threat landscape.

Job Description : As a Computer Network Defense Analyst (CND) you will be responsible for monitoring client networks to detect suspicious and hostile activity that would jeopardize the integrity of information systems. Analysts are responsible for reviewing logs from various security tools and network traffic analyzers. You must be able to compile information and prepare computer security incident reports based on intrusions, events, and incidents that are detected. You will work closely with infrastructure engineers, information assurance engineers, and system administrators to ensure mitigation of all activity detected.

This CND position requires the ability to work night shift and has limited travel. Job location is in (Atlanta) Smyrna, GA.


Key Responsibilities :
Constant monitoring of intrusion detection systems.
Creation of technically detailed reports based on intrusions and events.
Provides assistance in computer incident investigations.
Coordinate with other teams to remediate detected incidents.
Analyze and evaluate anomalous network and system activity.
Recommend modifications to security tools to detect, prevent, and mitigate intrusions.
Assist in troubleshooting and problem solving a wide variety of client issues.
Provide quality customer service with excellent communication skills.

Basic Qualifications :
Must have a current/active DOD Secret clearance and the ability to maintain an active DOD clearance.
Bachelor's Degree in Computer Science or related technical discipline, or the equivalent combination of education, professional training, or work experience.
Per DOD 8570 Compliance, all candidates must have a current/active Security+ CE (Continuing Education) certification.
3 years of network defense / incident response / intrusion analysis experience.
3 years hands-on experience in the detection, response, mitigation, and/or reporting of cyber threats affecting client networks and one or more of the following: Computer intrusion analysis - Intrusion detection - Computer network surveillance/monitoring.
Knowledge and understanding of network protocols, network devices, multiple operating systems, secure architecture and system log analysis.
Experience with current cyber threats and the associated tactics, techniques, and procedures used to infiltrate computer networks.
Experience in developing, refining, and performing advanced analysis to uncover new or potential incidents and report on results.
Experience in assessing threat indicators (e.g. Malware/Malicious Anomalies/Abnormal network Activity/Root Level Compromise, etc.).
An advanced understanding of current threats and trends present in the Information Security and Technology field.
Ability to demonstrate strong knowledge of computer security concepts.
Demonstrated ability to document processes.
Ability to work shift as required (night and day shifts).

Preferred Skills/Experience :
Initiative and a personal interest in Information Technology Security.
People skills, and the ability to communicate effectively with various clients with the ability to explain and elaborate on technical details.
Relevant IT certifications such as Certified Information Systems Security Professional (CISSP), GIAC Certified Intrusion Analyst (GCIA), GIAC Certified Forensic Analyst (GCFA), GIAC Certified Incident Handler (GCIH), Encase Certified Examiner (ECE), and EC-Council Certified Incident Handler (ECIH).
Prior experience with IT security devices and tools such as Encase, Check Point Firewalls, Blue Coat Secure Web Gateway, Source Fire IDS/IPS, Symantec DLP, and Fore Scout.
Experience with the CJCSM 6510 Cyber Incident Handling Program tactics, techniques, and procedures (TTPs).
An understanding of DOD information assurance policy and regulations.
Professional Skills/Required Skills: Excellent written and verbal communication skills. Excellent problem solving skills.

ICF offers an excellent benefits package, an award winning talent development program, and fosters a highly skilled, energized and empowered workforce.

ICF is an equal opportunity employer that values diversity at all levels. (EOE – Minorities/Females/Protected Veterans Status/Disability Status/Sexual Orientation/Gender Identity).

Pay Transparency Statement: For more information, please click here: https://www.dol.gov/ofccp/pdf/pay-transp_formattedESQA508c.pdf


Georgia Client Office (GA88)",392,Atlanta,GA
Computer Operator/Support Engineer,Oversight Systems,"About Oversight Systems
Oversight Systems’ core mission is to help business executives derive actionable insights from a sea of data without requiring that they become, or hire, data scientists. The Oversight Operational Analysis Platform is the first solution to automate evidential and predictive transaction analysis to generate specific, proven, plain language insights delivered directly to the front lines of business. Developed over ten years of real-world experience, the service has helped hundreds of businesses and government agencies save billions of dollars by identifying inefficiencies and preventing corruption, fraud and waste. Oversight Systems, Inc. is based in Atlanta, GA, and is privately held. Visit www.OversightSystems.com for more information.

Position Overview: Job Purpose
Oversight Systems has an opening for a Computer Operator/Support Engineer. This position is responsible for operating Linux based infrastructure and applications and providing basic customer support outside normal work hours. This role may be a 2nd shift, 3rd shift, or weekend shift role to support 24/7 support operations. The position is in Atlanta, GA.

Qualifications
2 – 4 years college; Bachelor degree in computer science preferred
4 – 6 years of hands-on Unix Operations experience in heterogeneous Production environment
2 – 3 years of hands on Application level Support
Skills
RedHat Linux, Windows (2008 server and newer)
Working technical knowledge of basic commands, job scheduling, and reading system and application log files. Basic knowledge of and experience using Linux/UNIX command-line utilities.
Perform backups, apply patches, and perform other maintenance activities as instructed
Knowledge of TCP/IP networks and troubleshooting tools desirable
Responsible for monitoring and operating Linux-based platforms
Knowledge of troubleshooting OS and networking issues
Assist in the performance of system administration, including file restores, account management, security management, running database jobs, etc. at the direction of supervisor
Monitors all platforms to detect errors/issues.
Create custom scripts, modify existing scripts, troubleshoot problem scripts
Initiate, execute and monitor the batch processing schedule and resolve and/or escalate for the resolution of batch Incidents
Escalate issues and problems according to procedures and best judgment.
When correcting errors or resolving issues, work with supervisor/leads to implement the specified corrective actions to eliminate/alleviate situations allowing for the continued availability of the necessary platforms and applications
Perform application upgrades utilizing scripts, stored procedures, or custom created tools
Perform accurate entries in support tickets of all events, issues, responses, and resolutions.
Write detailed, accurate tickets for production incidents and problems
Ability to pay attention to details, work in a structured, procedure oriented environment
Ability to work effectively in cross-functional teams in a highly dynamic work environment
Must be a self starter and work effectively with minimal supervision
Excellent written and verbal communication skills
In-depth knowledge and proven experience in trouble shooting, problem determination, root cause analysis and rapid problem resolution is highly desirable
Must be customer oriented. Highly cognizant of the importance of customer service, communicating effectively, and meeting service level commitments
Works effectively under high pressure in a demanding, complex technical environment
Must be results oriented, thorough, and dependable
Should make an effort to know and understand the Oversight solution from the user’s perspective in addition to understanding back-end operations
Should take calls from customers, users, and others and give effective guidance to help them through answering questions, user errors, and basic usability/data questions with using the Oversight solution.
Ensure all Service Level commitments and processing deadlines are met and communicate to supervisor/leads when they are not going to be met at the earliest possible time.
Ensure system availability for managed services customers through proactive system monitoring and observation of system error notifications
Perform procedures following established operating procedures for Infrastructure, Applications and Databases
Working technical knowledge of shell scripting, basic commands, job scheduling, and reading system and application logs files. Basic knowledge of and experience using Linux/UNIX command-line utilities.
Perform first level problem diagnostics, identification and resolution; execute Incident Management, escalation and notification procedures prior to taking action
Maintain a secure, clean and orderly work environment
Assist in training and development of other computer operators.
Problem analysis, root cause determination, and writing scripts are available as growth opportunities to the best candidates as primary skill mastery is demonstrated.
Exercise of judgment and discretion to define appropriate outcome is possible as primary skill mastery is demonstrated.
Work with XML and SQL is possible as primary skill mastery is demonstrated.
If this sounds like a good fit for you, please submit your resume to recruiter@oversightsystems.com.",6,Atlanta,GA
"Sr. Manager , Data Science Forecasting",Newell Brands,"Position Title : Senior Manager, Data Science Forecasting
Location: Atlanta, GA
Reports to: Director, Data Science

The Senior Manager, Data Science Forecasting will play an integral role in helping the company achieve its ambition by ensuring that Newell Brands is leveraging scientific methods and analytics to drive Supply Chain Improvements. Reporting to the Lead Data Scientist within the Supply Chain Transformation Office. The role will be highly visible with impact across all Newell Divisions.

Key Responsibilities:

Develop and implement forecast algorithms leveraging time series and machine learning methods to improve forecast accuracy for Demand Planning and Financial Planning.
Develop and implement diagnostic tools for use by business users to identify performance oppourtunities and root cause for action planning
Develop and implement optimization programs to improve planning outputs for manufacturing and distribution operations

Key Qualifications:

MS in Statistics, Operations Research, or Engineering
5+ years experience developing and applying statistical and operations research techniques within a business environment
Ability to communicate complex technical concepts to business partners in Supply Chain and Finance communities.
Advanced statistical forecasting skills in a practical environment
Advanced experience in writing forecasting models in open source languages (R/Python)
Experience dealing with issues commonly encountered when developing high quality models [robust out of sample evaluation, overfitting, robust and efficient hyperparameter estimation, feature engineering etc.]
Experience with cloud infrastructure [Azure/AWS/Google]
Exeperience in demand forecasting packages like APO, JDA, and SAS.
Strong written and verbal communication skills
Interpersonally savvy
Ability to work with and connect with all levels of employees
Strong planning &amp; organizing skills
Initiative &amp; follow-up, including a strong sense of autonomy
Strong Character – ability to champion the right decision in difficult situations
Demonstrated ability to handle multiple tasks and assignments simultaneously

Newell Brands (NYSE: NWL) is a leading global consumer goods company with a strong portfolio of well-known brands, including Paper Mate, Sharpie, Dymo, EXPO, Parker, Elmers, Coleman, Jostens, Marmot, Oster, Sunbeam, FoodSaver, Mr. Coffee, Rubbermaid Commercial Products, Graco, Baby Jogger, NUK, Calphalon, Rubbermaid, Contigo, First Alert and Yankee Candle. For hundreds of millions of consumers, Newell Brands makes life better every day, where they live, learn, work and play. Newell Brands and its subsidiaries are Equal Opportunity Employers and comply with applicable employment laws. EOE/M/F/Vet/Disabled are encouraged to apply.",912,Atlanta,GA
Operations Research Analyst (contractor role),Norfolk Southern Corp,"Primary Purpose:
Provides management with recommendations for the use of analytical models and decision support systems to improve business processes, increase revenues, and reduce costs.
Principal Duties:
Manages projects and provides hands-on leadership in design and development of operations research models and decision support systems.
Effectively utilize operations research techniques and computer science skills in delivering decision support systems
Collaborates with various departments to identify opportunities for process improvement by using decision tools to develop project proposals and to manage projects through to completion.
Job Related Experience:
Minimum Level: 1-2 years Preferred Level: 3-5 years
Education:
Preferred Level: Ph.D. Degree
Preferred Majors:
Computer and Information Sciences
Engineering - Industrial Engineering
Engineering - Operations Research
Engineering - Systems Engineering
Mathematical Sciences - Applied Mathematics
Licenses / Certifications: Required: None listed Preferred: None listed
Technical Skills:
MS Office: PowerPoint, Excel, Access, Word
Software development experience and programming in C++ or Java
SQL and relational database
Commercial optimization solver CPLEX or Gurobi
Rule-based optimization
Integer and mixed Integer Programming (MIP) optimization models
Heuristics or Meta-heuristic algorithms
Discrete event simulation and analysis
Experience in formulating and implementing optimization models
Experience in transportation industry
Skills and Abilities:
Planning and Organizing
Identifying and Considering Alternatives
Analytical Thinking
Communication Skills
Initiative
Career Path:
Predecessor Jobs:
Assistant Operations Research Specialist
Future Jobs:
Manager Operations Research



Work Conditions

Environment: Office
Shift Work: No
On-Call: Yes
Weekend Work: Yes
Travel Required: 6 - 10 Days per Month,



Company Overview
Norfolk Southern Corporation (NYSE: NSC) is one of the nation’s premier transportation companies. Its Norfolk Southern Railway Company subsidiary operates approximately 19,500 route miles in 22 states and the District of Columbia, serves every major container port in the eastern United States, and provides efficient connections to other rail carriers. Norfolk Southern operates the most extensive intermodal network in the East and is a major transporter of coal, automotive, and industrial products.

We are a team of more than 28,000 employees working together to maintain our reputation as ""The Thoroughbred of Transportation"". As an industry leader, Norfolk Southern offers a competitive salary and an excellent benefits package.
Norfolk Southern is an equal opportunity employer including veterans and disabled.",722,Atlanta,GA
Director of Monitoring and Evaluation,United Way,"Description

The Director of Monitoring and Evaluation will be responsible for monitoring and assessment, research and evaluation of the results reported by United Way supported programs and initiatives. The Director will develop summaries and informational materials and strategies to communicate those results related to the CWB strategy implementation and outcomes. Additionally, the Director will guide the development of strategies that help UWGA to fill gaps in its CWB portfolio and build stakeholders' capacity to effectively implement and execute outcome evaluation processes &amp; techniques.

Essential Duties

Develop criteria and processes for outcome evaluation and reporting for all UW funded programs and formal partnerships.
Work with VP Strategy &amp; Knowledge Development to develop evaluation policy recommendations for nonprofit and other human service partners and to research and communicate outcome measurement best practices.
Identify, recommend and monitor measures that support issues, strategies and programs connected to CWB utilizing Results Based Accountability.
Work closely with Data Scientist to develop and manage data collection processes connected to United Way’s grant-making and demonstrate program-level outcomes.
With the VP Strategy &amp; Knowledge, create regional and local reports, interpreting and synthesizing program-level evaluation data for United Way leadership, staff and volunteers charged with making outcome-based funding decisions.
Work with the Sr Director for Partner Engagement to evaluate collective impact and collaborative initiatives (Collabs).
Guide the identification and development of strategies to fill gaps in our CWB portfolio.
Provide staff support to the Advocacy Taskforce and Human Trafficking activities.
Qualifications

Advanced degree in public health/public policy or social sciences field and five years’ evaluation experience
Demonstrated experience in designing evaluation plans in accordance with available budgets and resources, developing and applying evaluation process tools, data collection and analysis
Strong writing and public speaking skills
Demonstrated knowledge of human service strategies and interventions
Ability to manage and direct multiple projects simultaneously within budget
Knowledge of place - based evaluation very helpful
Strong interpersonal skills in working with groups and individuals
Ability to train large, diverse groups and to provide tailored technical assistance on building evaluation capacity
Strong organizational skills
Information management skills in Excel, Access or other Windows-based database structures (preferably w/statistical packages)
Demonstrated experience in using statistical modeling to analyze and interpret data as well as experience using SPSS, SAS or other statistical program software
Experience with qualitative and mixed methods approaches to evaluation",1365,Atlanta,GA
